ID,Origin,Bulk,Trmt,Rep,0,24,48,72,96
1,Inshore,1,Ctrl,1,10,7,6,6,4
2,Inshore,1,Ctrl,2,10,10,9,8,7
3,Inshore,1,Ctrl,3,10,7,7,7,7
4,Inshore,1,Ctrl,4,10,8,6,6,8
5,Inshore,1,Ctrl,5,10,6,6,6,6
6,Inshore,1,Ctrl,6,10,9,9,9,9
7,Inshore,2,Ctrl,1,10,10,10,10,8
8,Inshore,2,Ctrl,2,10,7,7,7,7
9,Inshore,2,Ctrl,3,10,10,10,10,9
10,Inshore,2,Ctrl,4,10,10,10,10,9
11,Inshore,2,Ctrl,5,10,3,3,2,2
12,Inshore,2,Ctrl,6,10,7,7,7,7
13,Inshore,3,Ctrl,1,10,10,10,10,3
14,Inshore,3,Ctrl,2,10,8,6,5,5
15,Inshore,3,Ctrl,3,10,10,10,10,NA
16,Inshore,3,Ctrl,4,10,10,10,10,9
17,Inshore,3,Ctrl,5,10,10,10,10,10
18,Inshore,3,Ctrl,6,10,2,2,2,NA
19,Offshore,1,Ctrl,1,10,10,10,10,7
20,Offshore,1,Ctrl,2,10,10,10,10,6
21,Offshore,1,Ctrl,3,10,10,9,9,8
22,Offshore,1,Ctrl,4,10,10,10,10,8
23,Offshore,1,Ctrl,5,10,9,9,9,9
24,Offshore,1,Ctrl,6,10,8,8,8,8
25,Offshore,2,Ctrl,1,10,10,10,9,8
26,Offshore,2,Ctrl,2,10,10,10,10,8
27,Offshore,2,Ctrl,3,10,10,10,10,9
28,Offshore,2,Ctrl,4,10,9,9,9,9
29,Offshore,2,Ctrl,5,10,10,10,10,10
30,Offshore,2,Ctrl,6,10,9,9,9,9
31,Offshore,3,Ctrl,1,10,10,10,10,2
32,Offshore,3,Ctrl,2,10,10,10,10,4
33,Offshore,3,Ctrl,3,10,10,10,10,10
34,Offshore,3,Ctrl,4,10,10,9,9,9
35,Offshore,3,Ctrl,5,10,9,9,9,9
36,Offshore,3,Ctrl,6,10,10,10,10,10
37,Cross,1,Ctrl,1,10,10,10,10,6
38,Cross,1,Ctrl,2,10,10,10,10,12
39,Cross,1,Ctrl,3,10,9,9,9,9
40,Cross,1,Ctrl,4,10,8,8,8,7
41,Cross,1,Ctrl,5,10,10,9,9,9
42,Cross,1,Ctrl,6,10,10,9,9,9
43,Cross,2,Ctrl,1,10,10,9,9,9
44,Cross,2,Ctrl,2,10,10,10,9,7
45,Cross,2,Ctrl,3,10,10,10,10,9
46,Cross,2,Ctrl,4,10,9,9,8,8
47,Cross,2,Ctrl,5,10,10,10,10,10
48,Cross,2,Ctrl,6,10,10,10,10,10
49,Cross,3,Ctrl,1,10,3,3,3,NA
50,Cross,3,Ctrl,2,10,10,10,10,8
51,Cross,3,Ctrl,3,10,10,10,10,9
52,Cross,3,Ctrl,4,10,1,1,1,1
53,Cross,3,Ctrl,5,10,10,10,9,9
54,Cross,3,Ctrl,6,10,10,9,9,9
55,Inshore,1,Heat,1,10,3,3,3,3
56,Inshore,1,Heat,2,10,NA,NA,NA,NA
57,Inshore,1,Heat,3,10,8,6,6,3
58,Inshore,1,Heat,4,10,5,4,3,2
59,Inshore,1,Heat,5,10,3,2,2,2
60,Inshore,1,Heat,6,10,NA,NA,NA,NA
61,Inshore,2,Heat,1,10,10,7,7,6
62,Inshore,2,Heat,2,10,9,9,6,4
63,Inshore,2,Heat,3,10,5,4,4,2
64,Inshore,2,Heat,4,10,9,8,6,4
65,Inshore,2,Heat,5,10,9,8,6,6
66,Inshore,2,Heat,6,10,5,5,4,4
67,Inshore,3,Heat,1,10,9,7,7,5
68,Inshore,3,Heat,2,10,10,10,10,5
69,Inshore,3,Heat,3,10,4,4,4,3
70,Inshore,3,Heat,4,10,10,9,6,3
71,Inshore,3,Heat,5,10,4,4,4,4
72,Inshore,3,Heat,6,10,2,2,2,2
73,Offshore,1,Heat,1,10,7,7,7,5
74,Offshore,1,Heat,2,10,6,6,5,4
75,Offshore,1,Heat,3,10,10,8,8,4
76,Offshore,1,Heat,4,10,8,8,7,7
77,Offshore,1,Heat,5,10,6,6,6,6
78,Offshore,1,Heat,6,10,9,8,8,8
