ID,Origin,Bulk,Trmt,Rep,0,40,46,62,72,85,97,109,119,135,141
1,Offshore,1,Ctrl,1,10,10,10,10,10,10,10,10,10,10,10
2,Offshore,1,Ctrl,2,11,11,11,11,11,11,11,11,10,10,10
3,Offshore,2,Ctrl,1,10,10,10,10,10,10,10,10,10,10,10
4,Offshore,2,Ctrl,2,10,10,10,10,10,10,10,10,10,10,10
5,Offshore,3,Ctrl,1,11,11,11,11,11,11,11,11,11,11,11
6,Offshore,3,Ctrl,2,10,10,10,10,10,10,10,10,10,9,9
7,Offshore,1,Heat,1,10,10,10,10,10,9,7,7,7,5,3
8,Offshore,1,Heat,2,10,10,10,10,10,7,7,7,7,4,4
9,Offshore,2,Heat,1,10,10,9,9,9,9,6,6,5,5,4
10,Offshore,2,Heat,2,10,10,10,10,10,7,7,7,6,5,5
11,Offshore,3,Heat,1,10,9,9,9,9,7,7,7,6,3,3
12,Offshore,3,Heat,2,10,10,10,10,8,7,7,7,7,4,4
13,Cross1,1,Ctrl,1,10,10,10,9,9,9,9,9,9,7,7
14,Cross1,1,Ctrl,2,10,10,10,10,10,10,10,10,10,9,9
15,Cross1,1,Ctrl,3,10,10,10,10,10,10,10,9,10,10,10
16,Cross1,1,Ctrl,4,10,10,10,10,10,10,10,10,10,10,10
17,Cross1,1,Ctrl,5,10,10,7,7,7,6,5,5,5,4,4
18,Cross1,1,Ctrl,6,10,3,3,3,3,3,3,3,3,3,3
19,Cross2,1,Ctrl,1,10,10,10,10,9,9,9,9,9,8,8
20,Cross2,1,Ctrl,2,10,10,10,10,10,10,10,10,10,10,10
21,Cross2,1,Ctrl,3,10,10,10,10,10,10,10,9,9,9,9
22,Cross2,1,Ctrl,4,10,10,10,10,10,10,9,9,9,9,9
23,Cross2,1,Ctrl,5,10,10,10,8,8,8,8,8,8,8,8
24,Cross2,1,Ctrl,6,10,10,10,10,10,10,10,10,10,9,9
25,Cross1,1,Heat,1,10,9,8,6,6,6,6,5,4,4,3
26,Cross1,1,Heat,2,10,8,6,4,4,4,2,2,2,2,2
27,Cross1,1,Heat,3,10,10,8,7,5,5,5,5,5,5,2
28,Cross1,1,Heat,4,10,10,10,10,10,10,10,6,1,1,1
29,Cross1,1,Heat,5,10,10,8,8,7,7,7,6,3,3,3
30,Cross1,1,Heat,6,10,10,8,7,6,6,6,4,4,1,1
31,Cross2,1,Heat,1,10,9,9,8,7,7,7,7,7,7,6
32,Cross2,1,Heat,2,10,8,8,8,8,8,7,7,7,7,6
33,Cross2,1,Heat,3,10,8,8,8,7,7,7,7,7,7,4
34,Cross2,1,Heat,4,10,8,8,7,7,7,6,6,6,4,3
35,Cross2,1,Heat,5,10,8,8,6,5,5,5,2,2,2,2
36,Cross2,1,Heat,6,10,10,10,9,7,7,7,7,6,5,4
