Origin,Bulk,Rep,Trmt,TOD,Dead
Inshore,1,1,Control,24,1
Inshore,1,1,Control,24,1
Inshore,1,1,Control,24,1
Inshore,1,1,Control,48,1
Inshore,1,1,Control,96,1
Inshore,1,1,Control,96,1
Inshore,1,1,Control,96,0
Inshore,1,1,Control,96,0
Inshore,1,1,Control,96,0
Inshore,1,1,Control,96,0
Inshore,1,2,Control,48,1
Inshore,1,2,Control,72,1
Inshore,1,2,Control,96,1
Inshore,1,2,Control,96,0
Inshore,1,2,Control,96,0
Inshore,1,2,Control,96,0
Inshore,1,2,Control,96,0
Inshore,1,2,Control,96,0
Inshore,1,2,Control,96,0
Inshore,1,2,Control,96,0
Inshore,1,3,Control,24,1
Inshore,1,3,Control,24,1
Inshore,1,3,Control,24,1
Inshore,1,3,Control,96,0
Inshore,1,3,Control,96,0
Inshore,1,3,Control,96,0
Inshore,1,3,Control,96,0
Inshore,1,3,Control,96,0
Inshore,1,3,Control,96,0
Inshore,1,3,Control,96,0
Inshore,1,4,Control,24,1
Inshore,1,4,Control,24,1
Inshore,1,4,Control,48,1
Inshore,1,4,Control,48,1
Inshore,1,4,Control,96,0
Inshore,1,4,Control,96,0
Inshore,1,4,Control,96,0
Inshore,1,4,Control,96,0
Inshore,1,4,Control,96,0
Inshore,1,4,Control,96,0
Inshore,1,5,Control,24,1
Inshore,1,5,Control,24,1
Inshore,1,5,Control,24,1
Inshore,1,5,Control,24,1
Inshore,1,5,Control,96,0
Inshore,1,5,Control,96,0
Inshore,1,5,Control,96,0
Inshore,1,5,Control,96,0
Inshore,1,5,Control,96,0
Inshore,1,5,Control,96,0
Inshore,1,6,Control,24,1
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,1,6,Control,96,0
Inshore,2,7,Control,96,1
Inshore,2,7,Control,96,1
Inshore,2,7,Control,96,0
Inshore,2,7,Control,96,0
Inshore,2,7,Control,96,0
Inshore,2,7,Control,96,0
Inshore,2,7,Control,96,0
Inshore,2,7,Control,96,0
Inshore,2,7,Control,96,0
Inshore,2,7,Control,96,0
Inshore,2,8,Control,24,1
Inshore,2,8,Control,24,1
Inshore,2,8,Control,24,1
Inshore,2,8,Control,96,0
Inshore,2,8,Control,96,0
Inshore,2,8,Control,96,0
Inshore,2,8,Control,96,0
Inshore,2,8,Control,96,0
Inshore,2,8,Control,96,0
Inshore,2,8,Control,96,0
Inshore,2,9,Control,96,1
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,9,Control,96,0
Inshore,2,10,Control,96,1
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,10,Control,96,0
Inshore,2,11,Control,24,1
Inshore,2,11,Control,24,1
Inshore,2,11,Control,24,1
Inshore,2,11,Control,24,1
Inshore,2,11,Control,24,1
Inshore,2,11,Control,24,1
Inshore,2,11,Control,24,1
Inshore,2,11,Control,72,1
Inshore,2,11,Control,96,0
Inshore,2,11,Control,96,0
Inshore,2,12,Control,24,1
Inshore,2,12,Control,24,1
Inshore,2,12,Control,24,1
Inshore,2,12,Control,96,0
Inshore,2,12,Control,96,0
Inshore,2,12,Control,96,0
Inshore,2,12,Control,96,0
Inshore,2,12,Control,96,0
Inshore,2,12,Control,96,0
Inshore,2,12,Control,96,0
Inshore,3,13,Control,96,1
Inshore,3,13,Control,96,1
Inshore,3,13,Control,96,1
Inshore,3,13,Control,96,1
Inshore,3,13,Control,96,1
Inshore,3,13,Control,96,1
Inshore,3,13,Control,96,1
Inshore,3,13,Control,96,0
Inshore,3,13,Control,96,0
Inshore,3,13,Control,96,0
Inshore,3,14,Control,24,1
Inshore,3,14,Control,24,1
Inshore,3,14,Control,48,1
Inshore,3,14,Control,48,1
Inshore,3,14,Control,72,1
Inshore,3,14,Control,96,0
Inshore,3,14,Control,96,0
Inshore,3,14,Control,96,0
Inshore,3,14,Control,96,0
Inshore,3,14,Control,96,0
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,15,Control,96,NA
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,16,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,17,Control,96,0
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Inshore,3,18,Control,96,NA
Offshore,1,19,Control,96,1
Offshore,1,19,Control,96,1
Offshore,1,19,Control,96,1
Offshore,1,19,Control,96,0
Offshore,1,19,Control,96,0
Offshore,1,19,Control,96,0
Offshore,1,19,Control,96,0
Offshore,1,19,Control,96,0
Offshore,1,19,Control,96,0
Offshore,1,19,Control,96,0
Offshore,1,20,Control,96,1
Offshore,1,20,Control,96,1
Offshore,1,20,Control,96,1
Offshore,1,20,Control,96,1
Offshore,1,20,Control,96,0
Offshore,1,20,Control,96,0
Offshore,1,20,Control,96,0
Offshore,1,20,Control,96,0
Offshore,1,20,Control,96,0
Offshore,1,20,Control,96,0
Offshore,1,21,Control,48,1
Offshore,1,21,Control,96,1
Offshore,1,21,Control,96,0
Offshore,1,21,Control,96,0
Offshore,1,21,Control,96,0
Offshore,1,21,Control,96,0
Offshore,1,21,Control,96,0
Offshore,1,21,Control,96,0
Offshore,1,21,Control,96,0
Offshore,1,21,Control,96,0
Offshore,1,22,Control,96,1
Offshore,1,22,Control,96,1
Offshore,1,22,Control,96,0
Offshore,1,22,Control,96,0
Offshore,1,22,Control,96,0
Offshore,1,22,Control,96,0
Offshore,1,22,Control,96,0
Offshore,1,22,Control,96,0
Offshore,1,22,Control,96,0
Offshore,1,22,Control,96,0
Offshore,1,23,Control,24,1
Offshore,1,23,Control,96,0
Offshore,1,23,Control,96,0
Offshore,1,23,Control,96,0
Offshore,1,23,Control,96,0
Offshore,1,23,Control,96,0
Offshore,1,23,Control,96,0
Offshore,1,23,Control,96,0
