Origin,Bulk,RepBin,Trmt,TOD,Dead
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,1,Ctrl,141,0
Offshore,1,2,Ctrl,119,1
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,1,2,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,1,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,2,2,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,1,Ctrl,141,0
Offshore,3,2,Ctrl,135,1
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,3,2,Ctrl,141,0
Offshore,1,3,Heat,85,1
Offshore,1,3,Heat,97,1
Offshore,1,3,Heat,97,1
Offshore,1,3,Heat,135,1
Offshore,1,3,Heat,135,1
Offshore,1,3,Heat,141,1
Offshore,1,3,Heat,141,1
Offshore,1,3,Heat,141,0
Offshore,1,3,Heat,141,0
Offshore,1,3,Heat,141,0
Offshore,1,4,Heat,85,1
Offshore,1,4,Heat,85,1
Offshore,1,4,Heat,85,1
Offshore,1,4,Heat,135,1
Offshore,1,4,Heat,135,1
Offshore,1,4,Heat,135,1
Offshore,1,4,Heat,141,0
Offshore,1,4,Heat,141,0
Offshore,1,4,Heat,141,0
Offshore,1,4,Heat,141,0
Offshore,2,3,Heat,46,1
Offshore,2,3,Heat,97,1
Offshore,2,3,Heat,97,1
Offshore,2,3,Heat,97,1
Offshore,2,3,Heat,119,1
Offshore,2,3,Heat,141,1
Offshore,2,3,Heat,141,0
Offshore,2,3,Heat,141,0
Offshore,2,3,Heat,141,0
Offshore,2,3,Heat,141,0
Offshore,2,4,Heat,85,1
Offshore,2,4,Heat,85,1
Offshore,2,4,Heat,85,1
Offshore,2,4,Heat,119,1
Offshore,2,4,Heat,135,1
Offshore,2,4,Heat,141,0
Offshore,2,4,Heat,141,0
Offshore,2,4,Heat,141,0
Offshore,2,4,Heat,141,0
Offshore,2,4,Heat,141,0
Offshore,3,3,Heat,40,1
Offshore,3,3,Heat,85,1
Offshore,3,3,Heat,85,1
Offshore,3,3,Heat,119,1
Offshore,3,3,Heat,135,1
Offshore,3,3,Heat,135,1
Offshore,3,3,Heat,135,1
Offshore,3,3,Heat,141,0
Offshore,3,3,Heat,141,0
Offshore,3,3,Heat,141,0
Offshore,3,4,Heat,72,1
Offshore,3,4,Heat,72,1
Offshore,3,4,Heat,85,1
Offshore,3,4,Heat,135,1
