gene,logP
isogroupOFAVBQ_DN100885_c0_g1,NA
isogroupOFAVBQ_DN10131_c0_g1,NA
isogroupOFAVBQ_DN101719_c0_g1,NA
isogroupOFAVBQ_DN101719_c1_g1,-0.090979011182557
isogroupOFAVBQ_DN102998_c0_g1,0.0725821351310033
isogroupOFAVBQ_DN103101_c0_g1,-0.179302632903996
isogroupOFAVBQ_DN103135_c0_g1,NA
isogroupOFAVBQ_DN103439_c0_g1,0.392000082743858
isogroupOFAVBQ_DN103500_c0_g2,-0.028295804037077
isogroupOFAVBQ_DN103630_c0_g1,NA
isogroupOFAVBQ_DN103899_c0_g1,NA
isogroupOFAVBQ_DN103968_c0_g1,NA
isogroupOFAVBQ_DN104254_c0_g1,NA
isogroupOFAVBQ_DN105152_c0_g1,NA
isogroupOFAVBQ_DN105222_c0_g1,NA
isogroupOFAVBQ_DN105405_c0_g1,NA
isogroupOFAVBQ_DN105442_c0_g1,-0.17416628286264
isogroupOFAVBQ_DN105444_c0_g1,NA
isogroupOFAVBQ_DN105793_c0_g1,NA
isogroupOFAVBQ_DN105928_c0_g1,NA
isogroupOFAVBQ_DN106001_c0_g1,-0.105033839024125
isogroupOFAVBQ_DN106215_c0_g1,0.040802881423014
isogroupOFAVBQ_DN106353_c0_g1,-0.154125487674178
isogroupOFAVBQ_DN106356_c0_g1,NA
isogroupOFAVBQ_DN106402_c0_g1,0.111660099994575
isogroupOFAVBQ_DN106602_c0_g2,NA
isogroupOFAVBQ_DN106638_c0_g1,NA
isogroupOFAVBQ_DN106651_c0_g1,0.118728978058233
isogroupOFAVBQ_DN106692_c0_g2,0.0666522987518577
isogroupOFAVBQ_DN106716_c0_g1,-0.196429588657625
isogroupOFAVBQ_DN107142_c0_g3,NA
isogroupOFAVBQ_DN107190_c0_g1,NA
isogroupOFAVBQ_DN107199_c0_g1,NA
isogroupOFAVBQ_DN107698_c0_g1,NA
isogroupOFAVBQ_DN108054_c0_g1,-0.0271094966036133
isogroupOFAVBQ_DN108629_c0_g1,-0.145628481527412
isogroupOFAVBQ_DN10888_c0_g1,NA
isogroupOFAVBQ_DN109002_c0_g2,0.00612902017367712
isogroupOFAVBQ_DN109186_c0_g1,NA
isogroupOFAVBQ_DN109356_c1_g1,NA
isogroupOFAVBQ_DN109883_c1_g1,NA
isogroupOFAVBQ_DN109968_c0_g1,NA
isogroupOFAVBQ_DN110057_c0_g1,0.130148343521515
isogroupOFAVBQ_DN110163_c0_g1,NA
isogroupOFAVBQ_DN110378_c0_g1,0.00181111730012884
isogroupOFAVBQ_DN111139_c0_g1,NA
isogroupOFAVBQ_DN11117_c0_g1,-0.075796678944321
isogroupOFAVBQ_DN111975_c0_g1,NA
isogroupOFAVBQ_DN112017_c0_g1,-0.117007608102715
isogroupOFAVBQ_DN112456_c0_g1,NA
isogroupOFAVBQ_DN112873_c0_g1,0.188322732011368
isogroupOFAVBQ_DN112999_c0_g2,NA
isogroupOFAVBQ_DN113413_c0_g1,0.357626063987995
isogroupOFAVBQ_DN113833_c0_g1,NA
isogroupOFAVBQ_DN113844_c0_g1,0.164195270410334
isogroupOFAVBQ_DN114012_c0_g1,NA
isogroupOFAVBQ_DN11435_c0_g1,NA
isogroupOFAVBQ_DN114808_c0_g1,-0.0994787668064974
isogroupOFAVBQ_DN114839_c0_g1,-0.166262314463702
isogroupOFAVBQ_DN115336_c0_g1,-0.100535618308527
isogroupOFAVBQ_DN115336_c0_g2,0.188717121645093
isogroupOFAVBQ_DN115336_c1_g1,-0.0565054938029759
isogroupOFAVBQ_DN115520_c0_g1,0.398380265978732
isogroupOFAVBQ_DN115582_c0_g1,NA
isogroupOFAVBQ_DN115957_c0_g1,-0.236099980375226
isogroupOFAVBQ_DN116054_c0_g1,NA
isogroupOFAVBQ_DN116300_c0_g1,NA
isogroupOFAVBQ_DN116580_c0_g3,0.342108054408455
isogroupOFAVBQ_DN116815_c0_g2,NA
isogroupOFAVBQ_DN116853_c0_g1,0.310102649150923
isogroupOFAVBQ_DN116853_c0_g3,0.143104021922423
isogroupOFAVBQ_DN117062_c0_g1,NA
isogroupOFAVBQ_DN117252_c0_g1,NA
isogroupOFAVBQ_DN117354_c0_g1,0.250564195601692
isogroupOFAVBQ_DN118079_c0_g1,-0.128791448999969
isogroupOFAVBQ_DN118196_c0_g1,-0.0835016381460548
isogroupOFAVBQ_DN118544_c0_g1,0.245063937494511
isogroupOFAVBQ_DN118841_c0_g1,NA
isogroupOFAVBQ_DN119234_c0_g1,NA
