gene,logP
isogroupOFAVBQ_DN100885_c0_g1,NA
isogroupOFAVBQ_DN10131_c0_g1,NA
isogroupOFAVBQ_DN101719_c0_g1,NA
isogroupOFAVBQ_DN101719_c1_g1,NA
isogroupOFAVBQ_DN102998_c0_g1,NA
isogroupOFAVBQ_DN103101_c0_g1,NA
isogroupOFAVBQ_DN103135_c0_g1,NA
isogroupOFAVBQ_DN103439_c0_g1,NA
isogroupOFAVBQ_DN103500_c0_g2,NA
isogroupOFAVBQ_DN103630_c0_g1,NA
isogroupOFAVBQ_DN103899_c0_g1,NA
isogroupOFAVBQ_DN103968_c0_g1,NA
isogroupOFAVBQ_DN104254_c0_g1,NA
isogroupOFAVBQ_DN105152_c0_g1,NA
isogroupOFAVBQ_DN105222_c0_g1,NA
isogroupOFAVBQ_DN105405_c0_g1,NA
isogroupOFAVBQ_DN105442_c0_g1,NA
isogroupOFAVBQ_DN105444_c0_g1,NA
isogroupOFAVBQ_DN105793_c0_g1,NA
isogroupOFAVBQ_DN105928_c0_g1,NA
isogroupOFAVBQ_DN106001_c0_g1,0.0756233907900799
isogroupOFAVBQ_DN106215_c0_g1,NA
isogroupOFAVBQ_DN106353_c0_g1,-0.0487330554247717
isogroupOFAVBQ_DN106356_c0_g1,NA
isogroupOFAVBQ_DN106402_c0_g1,0.0115714351682247
isogroupOFAVBQ_DN106602_c0_g2,NA
isogroupOFAVBQ_DN106638_c0_g1,NA
isogroupOFAVBQ_DN106651_c0_g1,NA
isogroupOFAVBQ_DN106692_c0_g2,NA
isogroupOFAVBQ_DN106716_c0_g1,0.377337706972244
isogroupOFAVBQ_DN107142_c0_g3,NA
isogroupOFAVBQ_DN107190_c0_g1,NA
isogroupOFAVBQ_DN107199_c0_g1,NA
isogroupOFAVBQ_DN107698_c0_g1,NA
isogroupOFAVBQ_DN108054_c0_g1,0.0615682071031963
isogroupOFAVBQ_DN108629_c0_g1,0.892988139040252
isogroupOFAVBQ_DN10888_c0_g1,NA
isogroupOFAVBQ_DN109002_c0_g2,NA
isogroupOFAVBQ_DN109186_c0_g1,NA
isogroupOFAVBQ_DN109356_c1_g1,NA
isogroupOFAVBQ_DN109883_c1_g1,NA
isogroupOFAVBQ_DN109968_c0_g1,NA
isogroupOFAVBQ_DN110057_c0_g1,NA
isogroupOFAVBQ_DN110163_c0_g1,NA
isogroupOFAVBQ_DN110378_c0_g1,NA
isogroupOFAVBQ_DN111139_c0_g1,NA
isogroupOFAVBQ_DN11117_c0_g1,NA
isogroupOFAVBQ_DN111975_c0_g1,NA
isogroupOFAVBQ_DN112017_c0_g1,NA
isogroupOFAVBQ_DN112456_c0_g1,NA
isogroupOFAVBQ_DN112873_c0_g1,NA
isogroupOFAVBQ_DN112999_c0_g2,NA
isogroupOFAVBQ_DN113413_c0_g1,NA
isogroupOFAVBQ_DN113833_c0_g1,NA
isogroupOFAVBQ_DN113844_c0_g1,NA
isogroupOFAVBQ_DN114012_c0_g1,NA
isogroupOFAVBQ_DN11435_c0_g1,NA
isogroupOFAVBQ_DN114808_c0_g1,NA
isogroupOFAVBQ_DN114839_c0_g1,NA
isogroupOFAVBQ_DN115336_c0_g1,-1.88843754743242
isogroupOFAVBQ_DN115336_c0_g2,-0.37052030589258
isogroupOFAVBQ_DN115336_c1_g1,NA
isogroupOFAVBQ_DN115520_c0_g1,NA
isogroupOFAVBQ_DN115582_c0_g1,NA
isogroupOFAVBQ_DN115957_c0_g1,NA
isogroupOFAVBQ_DN116054_c0_g1,NA
isogroupOFAVBQ_DN116300_c0_g1,NA
isogroupOFAVBQ_DN116580_c0_g3,NA
isogroupOFAVBQ_DN116815_c0_g2,NA
isogroupOFAVBQ_DN116853_c0_g1,-0.0332659372971953
isogroupOFAVBQ_DN116853_c0_g3,0.0142842892669789
isogroupOFAVBQ_DN117062_c0_g1,NA
isogroupOFAVBQ_DN117252_c0_g1,NA
isogroupOFAVBQ_DN117354_c0_g1,0.488506147353061
isogroupOFAVBQ_DN118079_c0_g1,0.289708788318917
isogroupOFAVBQ_DN118196_c0_g1,NA
isogroupOFAVBQ_DN118544_c0_g1,NA
isogroupOFAVBQ_DN118841_c0_g1,NA
isogroupOFAVBQ_DN119234_c0_g1,NA
isogroupOFAVBQ_DN119500_c0_g1,NA
isogroupOFAVBQ_DN119602_c0_g2,NA
isogroupOFAVBQ_DN119759_c0_g1,NA
isogroupOFAVBQ_DN119890_c0_g1,NA
isogroupOFAVBQ_DN119906_c0_g1,NA
