gene,logP
isogroupOFAVBQ_DN10032_c0_g1,NA
isogroupOFAVBQ_DN100664_c0_g2,NA
isogroupOFAVBQ_DN10102_c0_g1,NA
isogroupOFAVBQ_DN10131_c0_g1,NA
isogroupOFAVBQ_DN101386_c0_g1,NA
isogroupOFAVBQ_DN101719_c0_g1,NA
isogroupOFAVBQ_DN101719_c1_g1,NA
isogroupOFAVBQ_DN101918_c0_g1,NA
isogroupOFAVBQ_DN102857_c0_g1,NA
isogroupOFAVBQ_DN102998_c0_g1,NA
isogroupOFAVBQ_DN103101_c0_g1,NA
isogroupOFAVBQ_DN103135_c0_g1,NA
isogroupOFAVBQ_DN103439_c0_g1,-0.00810792470621773
isogroupOFAVBQ_DN103500_c0_g2,NA
isogroupOFAVBQ_DN103630_c0_g1,NA
isogroupOFAVBQ_DN103899_c0_g1,NA
isogroupOFAVBQ_DN103968_c0_g1,NA
isogroupOFAVBQ_DN104254_c0_g1,NA
isogroupOFAVBQ_DN104470_c0_g1,NA
isogroupOFAVBQ_DN104882_c0_g1,NA
isogroupOFAVBQ_DN105222_c0_g1,NA
isogroupOFAVBQ_DN105444_c0_g1,NA
isogroupOFAVBQ_DN105705_c0_g1,NA
isogroupOFAVBQ_DN105793_c0_g1,NA
isogroupOFAVBQ_DN105928_c0_g1,NA
isogroupOFAVBQ_DN106001_c0_g1,0.075658778422909
isogroupOFAVBQ_DN106048_c0_g2,NA
isogroupOFAVBQ_DN106060_c0_g1,NA
isogroupOFAVBQ_DN106215_c0_g1,0.244250662209697
isogroupOFAVBQ_DN106273_c0_g2,NA
isogroupOFAVBQ_DN106353_c0_g1,-2.56675993744531
isogroupOFAVBQ_DN106356_c0_g1,NA
isogroupOFAVBQ_DN106379_c0_g1,NA
isogroupOFAVBQ_DN106402_c0_g1,0.80150822447597
isogroupOFAVBQ_DN106602_c0_g2,NA
isogroupOFAVBQ_DN106651_c0_g1,NA
isogroupOFAVBQ_DN106692_c0_g2,0.0145897331487245
isogroupOFAVBQ_DN106716_c0_g1,NA
isogroupOFAVBQ_DN107088_c0_g2,NA
isogroupOFAVBQ_DN107142_c0_g1,NA
isogroupOFAVBQ_DN107142_c0_g3,NA
isogroupOFAVBQ_DN107190_c0_g1,NA
isogroupOFAVBQ_DN107199_c0_g1,NA
isogroupOFAVBQ_DN107475_c0_g1,NA
isogroupOFAVBQ_DN107526_c0_g2,NA
isogroupOFAVBQ_DN108054_c0_g1,-1.37838314890812
isogroupOFAVBQ_DN108629_c0_g1,0.0155890214776569
isogroupOFAVBQ_DN109002_c0_g2,NA
isogroupOFAVBQ_DN109186_c0_g1,NA
isogroupOFAVBQ_DN109336_c0_g1,NA
isogroupOFAVBQ_DN10964_c0_g1,NA
isogroupOFAVBQ_DN109968_c0_g1,NA
isogroupOFAVBQ_DN110002_c0_g1,NA
