Samples,Type,DevDay,Trmt
AS_Crs_B1_Ctrl_aR2,Cross,Day3,Ctrl
AS_Crs_B1_Ctrl_aR3,Cross,Day3,Ctrl
AS_Crs_B1_Ctrl_aR6,Cross,Day3,Ctrl
AS_Crs_B2_Ctrl_aR3,Cross,Day3,Ctrl
AS_Crs_B2_Ctrl_aR4,Cross,Day3,Ctrl
AS_Crs_B2_Ctrl_aR5,Cross,Day3,Ctrl
AS_Crs_B2_Ctrl_aR6,Cross,Day3,Ctrl
AS_Crs_B3_Ctrl_aR3,Cross,Day3,Ctrl
AS_Crs_B3_Ctrl_aR5,Cross,Day3,Ctrl
AS_Crs_B3_Ctrl_aR6,Cross,Day3,Ctrl
AS_In_B1_Ctrl_aR4,Inshore,Day3,Ctrl
AS_In_B1_Ctrl_aR6,Inshore,Day3,Ctrl
AS_In_B2_Ctrl_aR1,Inshore,Day3,Ctrl
AS_In_B2_Ctrl_aR3,Inshore,Day3,Ctrl
AS_In_B2_Ctrl_aR4,Inshore,Day3,Ctrl
AS_In_B3_Ctrl_aR3,Inshore,Day3,Ctrl
AS_In_B3_Ctrl_aR4,Inshore,Day3,Ctrl
AS_In_B3_Ctrl_aR5,Inshore,Day3,Ctrl
AS_Off_B1_Ctrl_aR3,Offshore,Day3,Ctrl
AS_Off_B1_Ctrl_aR4,Offshore,Day3,Ctrl
AS_Off_B1_Ctrl_aR5,Offshore,Day3,Ctrl
AS_Off_B1_Ctrl_aR6,Offshore,Day3,Ctrl
AS_Off_B2_Ctrl_aR1,Offshore,Day3,Ctrl
AS_Off_B2_Ctrl_aR2,Offshore,Day3,Ctrl
AS_Off_B2_Ctrl_aR3,Offshore,Day3,Ctrl
AS_Off_B2_Ctrl_aR5,Offshore,Day3,Ctrl
AS_Off_B2_Ctrl_aR6,Offshore,Day3,Ctrl
AS_Off_B3_Ctrl_aR3,Offshore,Day3,Ctrl
AS_Off_B3_Ctrl_aR4,Offshore,Day3,Ctrl
AS_Off_B3_Ctrl_aR5,Offshore,Day3,Ctrl
AS_Off_B3_Ctrl_aR6,Offshore,Day3,Ctrl
AS_Off_B3_Heat_aR6,Offshore,Day3,Heat
MS_Crs_B1_Ctrl_aR2,Cross,Day4,Ctrl
MS_Crs_B1_Ctrl_aR3,Cross,Day4,Ctrl
MS_Crs_B1_Heat_aR2,Cross,Day4,Heat
MS_Crs_B1_Heat_aR3,Cross,Day4,Heat
MS_Crs_B2_Ctrl_aR2,Cross,Day4,Ctrl
MS_Crs_B2_Ctrl_aR3,Cross,Day4,Ctrl
MS_Crs_B2_Ctrl_aR5,Cross,Day4,Ctrl
MS_Crs_B2_Heat_aR2,Cross,Day4,Heat
MS_Crs_B3_Ctrl_aR3,Cross,Day4,Ctrl
MS_Crs_B3_Ctrl_aR5,Cross,Day4,Ctrl
MS_Crs_B3_Heat_aR1,Cross,Day4,Heat
MS_Crs_B3_Heat_aR3,Cross,Day4,Heat
MS_In_B1_Ctrl_aR1,Inshore,Day4,Ctrl
MS_In_B1_Ctrl_aR4,Inshore,Day4,Ctrl
MS_In_B1_Ctrl_aR5,Inshore,Day4,Ctrl
MS_In_B1_Heat_aR2,Inshore,Day4,Heat
MS_In_B1_Heat_aR3,Inshore,Day4,Heat
MS_In_B1_Heat_aR5,Inshore,Day4,Heat
MS_In_B2_Ctrl_aR2,Inshore,Day4,Ctrl
MS_In_B2_Ctrl_aR3,Inshore,Day4,Ctrl
MS_In_B2_Ctrl_aR5,Inshore,Day4,Ctrl
MS_In_B2_Heat_aR2,Inshore,Day4,Heat
MS_In_B2_Heat_aR5,Inshore,Day4,Heat
MS_In_B3_Ctrl_aR2,Inshore,Day4,Ctrl
MS_In_B3_Ctrl_aR4,Inshore,Day4,Ctrl
MS_In_B3_Ctrl_aR5,Inshore,Day4,Ctrl
MS_In_B3_Heat_aR2,Inshore,Day4,Heat
MS_In_B3_Heat_aR4,Inshore,Day4,Heat
MS_In_B3_Heat_aR5,Inshore,Day4,Heat
MS_Off_B1_Ctrl_aR2,Offshore,Day4,Ctrl
MS_Off_B1_Ctrl_aR4,Offshore,Day4,Ctrl
MS_Off_B1_Heat_aR4,Offshore,Day4,Heat
MS_Off_B1_Heat_aR5,Offshore,Day4,Heat
MS_Off_B2_Ctrl_aR2,Offshore,Day4,Ctrl
MS_Off_B2_Ctrl_aR4,Offshore,Day4,Ctrl
MS_Off_B2_Ctrl_aR5,Offshore,Day4,Ctrl
MS_Off_B2_Ctrl_aR6,Offshore,Day4,Ctrl
MS_Off_B2_Heat_aR2,Offshore,Day4,Heat
MS_Off_B2_Heat_aR3,Offshore,Day4,Heat
MS_Off_B2_Heat_aR5,Offshore,Day4,Heat
MS_Off_B3_Ctrl_aR2,Offshore,Day4,Ctrl
MS_Off_B3_Ctrl_aR3,Offshore,Day4,Ctrl
MS_Off_B3_Ctrl_aR5,Offshore,Day4,Ctrl
MS_Off_B3_Heat_aR1,Offshore,Day4,Heat
MS_Off_B3_Heat_aR3,Offshore,Day4,Heat
MS_Off_B3_Heat_aR5,Offshore,Day4,Heat
