ProbeID,modules2019
isogroupOFAVBQ_DN100664_c0_g2,0
isogroupOFAVBQ_DN100885_c0_g1,0
isogroupOFAVBQ_DN10102_c0_g1,0
isogroupOFAVBQ_DN10131_c0_g1,0
isogroupOFAVBQ_DN101719_c0_g1,0
isogroupOFAVBQ_DN101719_c1_g1,0
isogroupOFAVBQ_DN102857_c0_g1,1
isogroupOFAVBQ_DN102998_c0_g1,0
isogroupOFAVBQ_DN103101_c0_g1,0
isogroupOFAVBQ_DN103135_c0_g1,0
isogroupOFAVBQ_DN103439_c0_g1,0
isogroupOFAVBQ_DN103500_c0_g2,0
isogroupOFAVBQ_DN103630_c0_g1,0
isogroupOFAVBQ_DN103899_c0_g1,0
isogroupOFAVBQ_DN103968_c0_g1,0
isogroupOFAVBQ_DN104254_c0_g1,0
isogroupOFAVBQ_DN105152_c0_g1,0
isogroupOFAVBQ_DN105222_c0_g1,0
isogroupOFAVBQ_DN105405_c0_g1,0
isogroupOFAVBQ_DN105442_c0_g1,0
isogroupOFAVBQ_DN105444_c0_g1,0
isogroupOFAVBQ_DN105793_c0_g1,0
isogroupOFAVBQ_DN105928_c0_g1,0
isogroupOFAVBQ_DN106001_c0_g1,0
isogroupOFAVBQ_DN106060_c0_g1,0
isogroupOFAVBQ_DN106215_c0_g1,0
isogroupOFAVBQ_DN106353_c0_g1,0
isogroupOFAVBQ_DN106356_c0_g1,0
isogroupOFAVBQ_DN106402_c0_g1,0
isogroupOFAVBQ_DN106602_c0_g2,0
isogroupOFAVBQ_DN106651_c0_g1,0
isogroupOFAVBQ_DN106692_c0_g2,0
isogroupOFAVBQ_DN106716_c0_g1,0
isogroupOFAVBQ_DN107088_c0_g2,0
isogroupOFAVBQ_DN107142_c0_g3,0
isogroupOFAVBQ_DN107190_c0_g1,0
isogroupOFAVBQ_DN107199_c0_g1,0
isogroupOFAVBQ_DN107698_c0_g1,0
isogroupOFAVBQ_DN108054_c0_g1,0
isogroupOFAVBQ_DN108629_c0_g1,0
isogroupOFAVBQ_DN109002_c0_g2,0
isogroupOFAVBQ_DN109186_c0_g1,0
isogroupOFAVBQ_DN109883_c1_g1,0
isogroupOFAVBQ_DN109968_c0_g1,0
isogroupOFAVBQ_DN110057_c0_g1,0
isogroupOFAVBQ_DN110142_c0_g1,0
isogroupOFAVBQ_DN110163_c0_g1,0
isogroupOFAVBQ_DN110378_c0_g1,0
isogroupOFAVBQ_DN110604_c0_g1,0
isogroupOFAVBQ_DN110630_c1_g1,0
isogroupOFAVBQ_DN11117_c0_g1,0
isogroupOFAVBQ_DN111688_c0_g1,0
isogroupOFAVBQ_DN111975_c0_g1,0
isogroupOFAVBQ_DN112017_c0_g1,0
isogroupOFAVBQ_DN112456_c0_g1,0
isogroupOFAVBQ_DN112873_c0_g1,0
isogroupOFAVBQ_DN113413_c0_g1,0
isogroupOFAVBQ_DN113833_c0_g1,0
isogroupOFAVBQ_DN113844_c0_g1,0
isogroupOFAVBQ_DN114012_c0_g1,0
isogroupOFAVBQ_DN114107_c0_g1,0
isogroupOFAVBQ_DN11435_c0_g1,0
isogroupOFAVBQ_DN114808_c0_g1,0
isogroupOFAVBQ_DN114839_c0_g1,0
