Origin,Bulk,Trmt,Rep,Conc,Vol,Total,Nlar,PrPerLar
HR x HR,1,Control,1,238.6458333,172,41.04708333,20,2.052354167
HR x HR,1,Control,2,216.8666667,160,34.69866667,20,1.734933333
HR x HR,1,Control,3,194.4791667,192,37.34,17,2.196470588
HR x HR,2,Control,1,187.9777778,172,32.33217778,20,1.616608889
HR x HR,2,Control,2,154.6444444,208,32.16604444,19,1.692949708
HR x HR,2,Control,3,261.5625,113,29.5565625,13,2.273581731
HR x HR,3,Control,1,207.9777778,172,35.77217778,20,1.788608889
HR x HR,3,Control,2,259.8958333,160,41.58333333,20,2.079166667
HR x HR,3,Control,3,160.2,198,31.7196,20,1.58598
HR x HR,1,Heat,1,164.6875,217,35.7371875,15,2.382479167
HR x HR,1,Heat,2,156.7708333,323,50.63697917,19,2.665104167
HR x HR,1,Heat,3,220.1041667,244,53.70541667,23,2.335018116
HR x HR,2,Heat,1,194.0625,250,48.515625,22,2.205255682
HR x HR,2,Heat,2,159.9777778,269,43.03402222,26,1.655154701
HR x HR,2,Heat,3,187.7555556,181,33.98375556,21,1.618274074
HR x HR,3,Heat,1,191.7555556,157,30.10562222,18,1.672534568
HR x HR,3,Heat,2,235.7555556,147,34.65606667,21,1.650288889
HR x HR,3,Heat,3,183.9777778,161,29.62042222,19,1.558969591
CR x HR,1,Control,1,206.9791667,125,25.87239583,13,1.990184295
CR x HR,1,Control,2,192.8125,244,47.04625,23,2.04548913
CR x HR,1,Control,3,169.2708333,282,47.734375,23,2.075407609
CR x HR,1,Heat,1,324.375,67,21.733125,13,1.671778846
CR x HR,1,Heat,2,234.8958333,196,46.03958333,23,2.001721014
CR x HR,1,Heat,3,198.4222222,233,46.23237778,29,1.594219923
HR x CR,1,Control,1,175.1041667,255,44.6515625,19,2.350082237
HR x CR,1,Control,2,130.8666667,203,26.56593333,17,1.562701961
HR x CR,1,Control,3,155.3111111,242,37.58528889,20,1.879264444
HR x CR,1,Heat,1,242.8125,158,38.364375,20,1.91821875
HR x CR,1,Heat,2,187.7555556,117,21.9674,17,1.2922
HR x CR,1,Heat,3,252.6444444,140,35.37022222,21,1.684296296
