delta.rank,pval,level,nseqs,term,name,p.adj
-1368,0.002862815,3,35,GO:0000096,sulfur amino acid metabolic process,0.068997886
734,1.19E-05,9,269,GO:0000209,protein polyubiquitination,0.001673805
3808,0.000200384,3,7,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.012373308
866,0.004383876,2,80,GO:0000956,nuclear-transcribed mRNA catabolic process,0.08667492
730,0.0003934,4,176,GO:0001558,regulation of cell growth,0.019060432
2833,0.00170965,2,9,GO:0001782,B cell homeostasis,0.049266984
1222,0.004420352,2,40,GO:0001816,cytokine production,0.087005954
735,3.36E-05,4,240,GO:0001817,regulation of cytokine production,0.003275838
1068,5.80E-06,2,134,GO:0001819,positive regulation of cytokine production,0.00091294
1097,0.000873652,5,68,GO:0001959;GO:0060759,regulation of response to cytokine stimulus,0.033447894
1295,0.005373491,3,34,GO:0001960;GO:0060761,negative regulation of response to cytokine stimulus,0.097097225
1547,0.000263323,2,41,GO:0002221,pattern recognition receptor signaling pathway,0.014158409
2116,6.95E-05,2,26,GO:0002224,toll-like receptor signaling pathway,0.005678564
547,1.53E-06,1,606,GO:0002376,immune system process,0.000375963
2579,0.004304005,2,9,GO:0002449,lymphocyte mediated immunity,0.085479091
2130,0.001668977,4,16,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.048411302
809,0.005280502,3,88,GO:0002521,leukocyte differentiation,0.096205508
3240,0.003399304,3,6,GO:0002634,regulation of germinal center formation,0.075314219
532,3.23E-05,3,471,GO:0002682,regulation of immune system process,0.003275838
535,0.001492684,2,266,GO:0002684,positive regulation of immune system process,0.046520692
2844,0.002986106,3,8,GO:0002823;GO:0002820,negative regulation of adaptive immune response,0.069660013
-690,3.94E-05,2,268,GO:0005975,carbohydrate metabolic process,0.003636714
-994,0.000260307,2,100,GO:0005996;GO:0019318,monosaccharide metabolic process,0.014158409
-1061,0.004471854,4,53,GO:0006006,glucose metabolic process,0.087240734
-590,0.003779032,2,180,GO:0006066,alcohol metabolic process,0.081393359
782,0.004067909,3,100,GO:0006338,chromatin remodeling,0.08300695
1604,0.003758121,3,24,GO:0006379,mRNA cleavage,0.081393359
1140,1.36E-05,2,108,GO:0006457,protein folding,0.001818569
1481,0.003860544,2,28,GO:0006471,protein ADP-ribosylation,0.082227726
331,0.001657702,2,715,GO:0006508,proteolysis,0.048402695
-819,0.000103317,2,168,GO:0006520,cellular amino acid metabolic process,0.007071844
-768,0.002840639,2,112,GO:0006575,cellular modified amino acid metabolic process,0.068997886
-659,6.73E-09,3,608,GO:0006629,lipid metabolic process,3.71E-06
-1249,4.28E-09,3,165,GO:0006631,fatty acid metabolic process,3.15E-06
-1371,8.08E-05,2,61,GO:0006633,fatty acid biosynthetic process,0.006039373
-1279,0.004670585,2,36,GO:0006635,fatty acid beta-oxidation,0.089179737
-2377,0.003629549,3,11,GO:0006703,estrogen biosynthetic process,0.079221187
-2236,0.00032387,2,19,GO:0006730,one-carbon metabolic process,0.016603986
-1979,0.004692606,2,15,GO:0006744;GO:0006743;GO:1901663,ubiquinone metabolic process,0.089179737
-890,3.23E-06,2,205,GO:0006790,sulfur compound metabolic process,0.0006469
498,0.000289757,4,406,GO:0006915;GO:0012501;GO:0008219,cell death,0.015208803
769,1.65E-08,2,414,GO:0006952,defense response,6.60E-06
669,0.002976839,4,147,GO:0006954,inflammatory response,0.069660013
849,6.29E-08,2,308,GO:0006955,immune response,1.98E-05
2942,0.00213089,2,8,GO:0006984,ER-nucleus signaling pathway,0.056939959
437,4.84E-06,2,887,GO:0007166,cell surface receptor signaling pathway,0.000820513
1220,0.000507608,3,60,GO:0007219,Notch signaling pathway,0.023312972
1320,0.004005757,3,35,GO:0007249,I-kappaB kinase/NF-kappaB signaling,0.08291729
704,0.001582381,2,150,GO:0007411;GO:0097485,axon guidance,0.047002652
1811,0.003586859,2,19,GO:0007586,digestion,0.078678917
1162,0.003339071,7,47,GO:0008543,fibroblast growth factor receptor signaling pathway,0.074353352
-679,3.42E-05,2,282,GO:0008610,lipid biosynthetic process,0.003275838
-1245,0.00024844,4,64,GO:0009062;GO:0072329,monocarboxylic acid catabolic process,0.013865449
-1216,0.000202719,2,69,GO:0009063;GO:1901606,cellular amino acid catabolic process,0.012373308
-570,0.000551364,2,278,GO:0009117;GO:0006753;GO:0055086,nucleobase-containing small molecule metabolic process,0.024068943
-914,3.69E-06,3,192,GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693,purine-containing compound metabolic process,0.000676999
-1103,0.000101424,4,92,GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390,ribose phosphate biosynthetic process,0.007071844
-1368,0.003290628,3,34,GO:0009268,response to pH,0.074353352
-1968,0.001555719,4,19,GO:0009395,phospholipid catabolic process,0.046980584
287,0.003205766,2,851,GO:0009605,response to external stimulus,0.073234309
973,2.00E-05,2,143,GO:0009617,response to bacterium,0.002384496
1370,0.004941139,5,31,GO:0010332,response to gamma radiation,0.092311363
318,0.000902767,3,880,GO:0010628,positive regulation of gene expression,0.033447894
322,0.001065235,3,832,GO:0010629,negative regulation of gene expression,0.038002831
302,0.000766787,2,1023,GO:0010647;GO:0023056;GO:0009967;GO:0048584,positive regulation of response to stimulus,0.031016164
-1140,0.001533685,2,57,GO:0010717;GO:0010718,regulation of epithelial to mesenchymal transition,0.046772462
1364,0.00148111,2,40,GO:0010770;GO:0010769,regulation of cell morphogenesis involved in differentiation,0.046520692
-716,0.00229909,2,135,GO:0015849,organic acid transport,0.059627576
-993,6.41E-06,2,154,GO:0016042,lipid catabolic process,0.000974541
-1262,0.000227659,2,63,GO:0016051,carbohydrate biosynthetic process,0.013035721
298,0.002336717,4,839,GO:0016070,RNA metabolic process,0.059898759
464,0.001420202,2,361,GO:0016071,mRNA metabolic process,0.046041703
917,5.23E-05,3,145,GO:0016197,endosomal transport,0.004523281
799,0.003031758,4,102,GO:0016482,cytosolic transport,0.070352744
1979,0.000823324,3,21,GO:0016925,protein sumoylation,0.032411039
2400,0.003310133,3,11,GO:0017145,stem cell division,0.074353352
-2286,0.000347886,2,18,GO:0018904,ether metabolic process,0.017630206
2194,0.000847117,3,17,GO:0019048;GO:0044003,modulation by symbiont of host process,0.03305254
724,0.00392562,3,118,GO:0019221,cytokine-mediated signaling pathway,0.082407421
-1531,2.93E-05,4,55,GO:0019395;GO:0034440,lipid oxidation,0.003229218
-514,9.84E-05,2,442,GO:0019637,organophosphate metabolic process,0.006994674
-888,1.31E-11,5,447,GO:0019752;GO:0043436;GO:0006082,organic acid metabolic process,2.89E-08
3128,0.0046882,4,6,GO:0021682,nerve maturation,0.089179737
777,0.001375854,3,126,GO:0022604,regulation of cell morphogenesis,0.044934387
1172,0.000377548,3,68,GO:0030098;GO:1903131,mononuclear cell differentiation,0.018703488
507,0.001454665,6,299,GO:0030162,regulation of proteolysis,0.046520692
1330,0.005561422,3,32,GO:0030838,positive regulation of actin filament polymerization,0.099676059
1247,0.004123049,2,39,GO:0030968,endoplasmic reticulum unfolded protein response,0.08300695
1136,0.002564961,5,52,GO:0031047,gene silencing by RNA,0.063705538
2026,0.003789753,2,15,GO:0031048,heterochromatin assembly by small RNA,0.081393359
1694,0.005207495,2,20,GO:0031054,pre-miRNA processing,0.095666027
544,3.01E-05,5,453,GO:0031329;GO:0009894,regulation of catabolic process,0.003232638
672,0.000226961,2,226,GO:0031331;GO:0009896,positive regulation of catabolic process,0.013035721
1005,0.000946191,2,80,GO:0031334,positive regulation of protein-containing complex assembly,0.034764618
1017,0.000888213,2,79,GO:0031398;GO:1903322,positive regulation of protein modification by small protein conjugation or removal,0.033447894
1033,0.001588432,2,69,GO:0032088,negative regulation of NF-kappaB transcription factor activity,0.047002652
438,0.001460854,3,405,GO:0032101,regulation of response to external stimulus,0.046520692
2503,0.003493099,2,10,GO:0032232,negative regulation of actin filament bundle assembly,0.077005367
851,0.001962791,6,98,GO:0032271,regulation of protein polymerization,0.054771821
1295,0.000520425,3,53,GO:0032273,positive regulation of protein polymerization,0.023532095
1052,0.001952059,5,64,GO:0032436;GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,0.054771821
1066,0.003937818,2,54,GO:0032465,regulation of cytokinesis,0.082407421
1250,0.000572529,2,56,GO:0032479,regulation of type I interferon production,0.024507577
-1028,1.12E-08,2,232,GO:0032787,monocarboxylic acid metabolic process,4.95E-06
927,0.00079415,2,97,GO:0032874;GO:0070304;GO:0046330,positive regulation of stress-activated protein kinase signaling cascade,0.031830988
688,0.002957293,2,139,GO:0032956;GO:0032970;GO:0110053,regulation of actin filament-based process,0.069660013
369,0.002315276,5,529,GO:0033043,regulation of organelle organization,0.05969621
1139,0.000414225,4,71,GO:0033209,tumor necrosis factor-mediated signaling pathway,0.019637833
703,0.000261788,2,202,GO:0034097,response to cytokine,0.014158409
2194,0.000147388,4,22,GO:0034332,adherens junction organization,0.00969902
3815,0.000563267,5,6,GO:0034334,adherens junction maintenance,0.024347484
-2101,0.005198009,2,13,GO:0034381;GO:0034383,plasma lipoprotein particle clearance,0.095666027
1229,6.40E-07,2,122,GO:0034976,response to endoplasmic reticulum stress,0.00017625
3558,0.003318679,2,5,GO:0035195,gene silencing by miRNA,0.074353352
3019,0.000219897,2,11,GO:0035279;GO:0098795,mRNA cleavage involved in gene silencing by miRNA,0.013035721
