"","delta.rank","pval","level","nseqs","term","name","p.adj"
"26",600,8.55046983121268e-05,9,189,"GO:0000209","protein polyubiquitination",0.0125165723759983
"101",-1192,0.000680655026567984,4,35,"GO:0001676","long-chain fatty acid metabolic process",0.0462602326985312
"194",-2373,0.000591250544627987,2,9,"GO:0002232;GO:0002523","leukocyte migration involved in inflammatory response",0.0424584825066815
"213",-1537,0.000919047938085176,2,20,"GO:0002526","acute inflammatory response",0.0522074097365997
"214",-2779,0.000385411865651264,2,7,"GO:0002532","production of molecular mediator involved in inflammatory response",0.0325972791259714
"218",2625,0.00190670113990522,3,6,"GO:0002634","regulation of germinal center formation",0.082774602086622
"264",-617,0.00139621725316547,3,117,"GO:0003013","circulatory system process",0.0695068093011101
"269",-807,0.000417791836287081,4,83,"GO:0003018","vascular process in circulatory system",0.0338322495512475
"300",-645,4.52284088221888e-05,2,176,"GO:0005975","carbohydrate metabolic process",0.00819711066558336
"305",-1175,2.71992094239996e-06,2,69,"GO:0005996;GO:0019318","monosaccharide metabolic process",0.00129400238834678
"307",-1333,0.000145669737362296,4,35,"GO:0006006","glucose metabolic process",0.0145899742210763
"416",685,0.00135661183351428,2,95,"GO:0006457","protein folding",0.0688435285114047
"444",-2038,0.000140499775675016,4,15,"GO:0006536","glutamate metabolic process",0.0144524904383543
"452",-746,0.000959171712912028,2,85,"GO:0006575","cellular modified amino acid metabolic process",0.0531564254544423
"466",-442,8.0099963988501e-06,3,468,"GO:0006629","lipid metabolic process",0.00234508048415565
"467",-881,1.05282743261789e-06,3,134,"GO:0006631","fatty acid metabolic process",0.000706353682137359
"469",-1285,0.000461332188770898,2,32,"GO:0006635","fatty acid beta-oxidation",0.0365797981346258
"470",-2399,0.00012278289324615,2,11,"GO:0006636","unsaturated fatty acid biosynthetic process",0.0139797175059778
"486",-1297,9.52324833234085e-05,2,39,"GO:0006690;GO:0033559","icosanoid metabolic process",0.0129448154117462
"487",-1690,0.00227789386816761,3,14,"GO:0006691","leukotriene metabolic process",0.0912596217078518
"509",-567,0.00114131805829064,2,144,"GO:0006790","sulfur compound metabolic process",0.0595048839706052
"514",-1046,0.000165579479839145,2,56,"GO:0006814","sodium ion transport",0.0154799160393729
"527",-930,0.00100811603221503,5,54,"GO:0006865","amino acid transport",0.0548127088372915
"594",384,0.000650459113485367,2,355,"GO:0007017","microtubule-based process",0.0450117706531874
"599",2816,0.000870453476610755,2,6,"GO:0007026;GO:0031114","regulation of microtubule depolymerization",0.0516903728366651
"642",262,0.0020727946134106,2,649,"GO:0007166","cell surface receptor signaling pathway",0.0848285623509757
"668",1431,0.00262038977294232,3,19,"GO:0007249","I-kappaB kinase/NF-kappaB signaling",0.0997320347581847
"798",-966,0.00181070255709785,2,45,"GO:0008652;GO:1901607","cellular amino acid biosynthetic process",0.0810768697919343
"802",-1073,8.4072645104797e-05,4,58,"GO:0009062;GO:0072329","monocarboxylic acid catabolic process",0.0125165723759983
"804",-1390,0.000151515362164423,3,32,"GO:0009064","glutamine family amino acid metabolic process",0.0147863453435332
"887",-493,0.000710938370763018,2,208,"GO:0009725","response to hormone",0.047272196751609
"951",466,0.000748804794806935,2,232,"GO:0010608;GO:0034248;GO:0006417","posttranscriptional regulation of gene expression",0.047272196751609
"961",435,0.00218740825576499,2,219,"GO:0010638","positive regulation of organelle organization",0.0885667640578889
"1022",-2337,0.00141828027844508,3,8,"GO:0010940","positive regulation of necrotic cell death",0.0695068093011101
"1068",-581,0.0017909216801603,3,126,"GO:0015672","monovalent inorganic cation transport",0.0810768697919343
"1082",-967,3.97696464354701e-06,2,99,"GO:0015849","organic acid transport",0.00137602976666727
"1094",-901,1.54538282927052e-06,2,124,"GO:0016042","lipid catabolic process",0.000840246721171943
"1138",388,9.96053026251528e-05,2,461,"GO:0016567;GO:0032446;GO:0070647","protein modification by small protein conjugation or removal",0.0130723373031494
"1185",-1810,0.000477948816898425,2,16,"GO:0018904","ether metabolic process",0.0371239427982736
"1205",-2137,0.00197475960681174,3,9,"GO:0019370","leukotriene biosynthetic process",0.0830490888575046
"1206",-1294,1.58623472314285e-05,4,48,"GO:0019395;GO:0034440","lipid oxidation",0.00402480623752112
"1212",-401,0.000512509002117205,2,338,"GO:0019637","organophosphate metabolic process",0.0382472404325114
"1221",-664,6.74912757934081e-09,5,343,"GO:0019752;GO:0043436;GO:0006082","organic acid metabolic process",1.28435897834856e-05
"1278",-403,0.000793560810854158,2,311,"GO:0030001;GO:0006812","cation transport",0.0487143942921117
"1326",-729,0.000501625952252001,4,99,"GO:0030258","lipid modification",0.0381837674854223
"1420",2640,0.000748749634900016,3,7,"GO:0031111","negative regulation of microtubule polymerization or depolymerization",0.047272196751609
