Samples,Inshore,Offshore,Cross,Day4,Day12,Ctrl,Heat
MS_Crs_B1_Ctrl_aR2,0,0,1,1,0,1,0
MS_Crs_B1_Ctrl_aR3,0,0,1,1,0,1,0
MS_Crs_B1_Heat_aR2,0,0,1,1,0,0,1
MS_Crs_B1_Heat_aR3,0,0,1,1,0,0,1
MS_Crs_B2_Ctrl_aR2,0,0,1,1,0,1,0
MS_Crs_B2_Ctrl_aR3,0,0,1,1,0,1,0
MS_Crs_B2_Ctrl_aR5,0,0,1,1,0,1,0
MS_Crs_B2_Heat_aR2,0,0,1,1,0,0,1
MS_Crs_B3_Ctrl_aR3,0,0,1,1,0,1,0
MS_Crs_B3_Ctrl_aR5,0,0,1,1,0,1,0
MS_Crs_B3_Heat_aR1,0,0,1,1,0,0,1
MS_Crs_B3_Heat_aR3,0,0,1,1,0,0,1
MS_In_B1_Ctrl_aR1,1,0,0,1,0,1,0
MS_In_B1_Ctrl_aR4,1,0,0,1,0,1,0
MS_In_B1_Ctrl_aR5,1,0,0,1,0,1,0
MS_In_B1_Heat_aR2,1,0,0,1,0,0,1
MS_In_B1_Heat_aR3,1,0,0,1,0,0,1
MS_In_B1_Heat_aR5,1,0,0,1,0,0,1
MS_In_B2_Ctrl_aR2,1,0,0,1,0,1,0
MS_In_B2_Ctrl_aR3,1,0,0,1,0,1,0
MS_In_B2_Ctrl_aR5,1,0,0,1,0,1,0
MS_In_B2_Heat_aR2,1,0,0,1,0,0,1
MS_In_B2_Heat_aR5,1,0,0,1,0,0,1
MS_In_B3_Ctrl_aR2,1,0,0,1,0,1,0
MS_In_B3_Ctrl_aR4,1,0,0,1,0,1,0
MS_In_B3_Ctrl_aR5,1,0,0,1,0,1,0
MS_In_B3_Heat_aR2,1,0,0,1,0,0,1
MS_In_B3_Heat_aR4,1,0,0,1,0,0,1
MS_In_B3_Heat_aR5,1,0,0,1,0,0,1
MS_Off_B1_Ctrl_aR2,0,1,0,1,0,1,0
MS_Off_B1_Ctrl_aR4,0,1,0,1,0,1,0
MS_Off_B1_Heat_aR4,0,1,0,1,0,0,1
MS_Off_B1_Heat_aR5,0,1,0,1,0,0,1
MS_Off_B2_Ctrl_aR2,0,1,0,1,0,1,0
MS_Off_B2_Ctrl_aR4,0,1,0,1,0,1,0
MS_Off_B2_Ctrl_aR5,0,1,0,1,0,1,0
MS_Off_B2_Ctrl_aR6,0,1,0,1,0,1,0
MS_Off_B2_Heat_aR2,0,1,0,1,0,0,1
MS_Off_B2_Heat_aR3,0,1,0,1,0,0,1
MS_Off_B2_Heat_aR5,0,1,0,1,0,0,1
MS_Off_B3_Ctrl_aR2,0,1,0,1,0,1,0
MS_Off_B3_Ctrl_aR3,0,1,0,1,0,1,0
MS_Off_B3_Ctrl_aR5,0,1,0,1,0,1,0
MS_Off_B3_Heat_aR1,0,1,0,1,0,0,1
MS_Off_B3_Heat_aR3,0,1,0,1,0,0,1
MS_Off_B3_Heat_aR5,0,1,0,1,0,0,1
YZ-10,0,0,1,0,1,0,1
YZ-11,0,1,0,0,1,0,1
YZ-12,0,1,0,0,1,1,0
YZ-13,0,1,0,0,1,0,1
YZ-14,0,0,1,0,1,0,1
YZ-15,0,1,0,0,1,1,0
YZ-16,0,1,0,0,1,1,0
YZ-17,0,0,1,0,1,1,0
YZ-18,0,1,0,0,1,1,0
YZ-19,0,1,0,0,1,0,1
YZ-20,0,0,1,0,1,1,0
YZ-21,0,1,0,0,1,0,1
YZ-22,0,1,0,0,1,0,1
YZ-23,0,0,1,0,1,0,1
YZ-24,0,0,1,0,1,1,0
YZ-25,0,1,0,0,1,1,0
YZ-26,0,1,0,0,1,1,0
YZ-27,0,0,1,0,1,0,1
YZ-28,0,1,0,0,1,0,1
YZ-29,0,0,1,0,1,1,0
YZ-30,0,0,1,0,1,0,1
YZ-31,0,1,0,0,1,1,0
YZ-32,0,1,0,0,1,1,0
YZ-3,0,0,1,0,1,1,0
YZ-4,0,0,1,0,1,0,1
YZ-5,0,1,0,0,1,0,1
YZ-6,0,1,0,0,1,0,1
YZ-7,0,0,1,0,1,1,0
YZ-8,0,1,0,0,1,1,0
YZ-9,0,1,0,0,1,0,1
