"","Isogroup","Gene","LFC","Padj"
"1","isogroupOFAVBQ_DN100885_c0_g1","40S ribosomal protein S23 OS=Lumbricus rubellus OX=35632 GN=RPS23 PE=2 SV=1 E(blastx)=1e-27",-1.97871333647344,0.449485891981742
"2","isogroupOFAVBQ_DN10131_c0_g1",NA,0.89363991559277,NA
"3","isogroupOFAVBQ_DN101719_c0_g1","Basic phospholipase A2 Sms-N6 OS=Sistrurus miliarius streckeri OX=253282 PE=1 SV=1 E(blastx)=7e-07",-0.907176679927071,0.181027506977722
"4","isogroupOFAVBQ_DN101719_c1_g1",NA,-0.502553016416273,0.483171538851752
"5","isogroupOFAVBQ_DN102998_c0_g1","Hydroxyacid oxidase 1 OS=Mus musculus OX=10090 GN=Hao1 PE=1 SV=1 E(blastx)=1e-08",0.494049877047668,0.239541619105678
"6","isogroupOFAVBQ_DN103101_c0_g1",NA,-0.345407032002224,0.770934147380348
"7","isogroupOFAVBQ_DN103135_c0_g1",NA,0.5958993143463,NA
"8","isogroupOFAVBQ_DN103439_c0_g1",NA,0.381749874935212,0.693806156749313
"9","isogroupOFAVBQ_DN103500_c0_g2",NA,-0.0469158389262693,0.966348425647138
"10","isogroupOFAVBQ_DN103630_c0_g1",NA,-0.0492690289775986,NA
"11","isogroupOFAVBQ_DN103899_c0_g1",NA,-0.25737584920681,NA
"12","isogroupOFAVBQ_DN103968_c0_g1",NA,0.302320148053909,NA
"13","isogroupOFAVBQ_DN104254_c0_g1","Radial spoke head 1 homolog OS=Homo sapiens OX=9606 GN=RSPH1 PE=1 SV=1 E(blastx)=7e-62",0.187314507814768,NA
"14","isogroupOFAVBQ_DN105152_c0_g1",NA,0.547120192144165,NA
"15","isogroupOFAVBQ_DN105222_c0_g1",NA,0.014008262120035,NA
"16","isogroupOFAVBQ_DN105405_c0_g1","Linoleate 13S-lipoxygenase 3-1, chloroplastic OS=Solanum tuberosum OX=4113 GN=LOX3.1 PE=1 SV=1 E(blastx)=4e-05",-0.613501199819062,NA
"17","isogroupOFAVBQ_DN105442_c0_g1","60S acidic ribosomal protein P2 OS=Equus caballus OX=9796 GN=RPLP2 PE=3 SV=1 E(blastx)=4e-18",-1.1835525392611,0.635168355094239
"18","isogroupOFAVBQ_DN105444_c0_g1",NA,-0.337396250065413,NA
"19","isogroupOFAVBQ_DN105793_c0_g1",NA,0.219350269959596,NA
"20","isogroupOFAVBQ_DN105928_c0_g1",NA,-0.0560867110730122,NA
"21","isogroupOFAVBQ_DN106001_c0_g1","Nuclear protein 1 OS=Rattus norvegicus OX=10116 GN=Nupr1 PE=2 SV=1 E(blastx)=5e-09",-0.0678437315197794,0.857460732511775
"22","isogroupOFAVBQ_DN106215_c0_g1","Retrovirus-related Pol polyprotein from transposon 297 OS=Drosophila melanogaster OX=7227 GN=pol PE=4 SV=1 E(blastx)=2e-08",0.363179154230823,0.690192021279869
"23","isogroupOFAVBQ_DN106353_c0_g1","Cytosolic phospholipase A2 OS=Xenopus tropicalis OX=8364 GN=pla2g4a PE=2 SV=1 E(blastx)=1e-45",-0.190407444352267,0.685732743203348
